"fwidth" "(num)fwidth([font_id, ]str)" "font_size.n7"
"fheight" "(num)fheight([font_id])" "font_size.n7"
"create zone" "create zone zone_id, x, y, w, h" "zones.n7"
"free zone" "free zone zone_id" "zones.n7"
"createzone" "(num)createzone(x, y, w, h)" "zones.n7"
"zone" "(num)zone() / (num)zone(zone_id) / (num)zone(x, y)" "zones.n7"
"zonex" "(num)zonex(zone_id)" "zones.n7"
"zoney" "(num)zoney(zone_id)" "zones.n7"
"zonew" "(num)zonew(zone_id)" "zones.n7"
"zoneh" "(num)zoneh(zone_id)" "zones.n7"
"load sound" "load sound sound_id, filename" "sounds.n7"
"create sound" "create sound sound_id, left_data, right_data, sample_rate" "create_sound.n7"
"free sound" "free sound sound_id" "sounds.n7"
"play sound" "play sound sound_id[, volume[, panning]]" "sounds.n7"
"load music" "load music music_id, filename" "music.n7"
"free music" "free music music_id" "music.n7"
"play music" "play music music_id[, loop]" "music.n7"
"stop music" "stop music music_id" "music.n7"
"set music volume" "set music volume music_id, value" "music.n7"
"loadsound" "(num)loadsound(filename)" "sounds.n7"
"createsound" "(num)createsound(left_data, right_data, sample_rate)" "create_sound.n7"
"sound" "(num)sound(sound_id)" "sounds.n7"
"loadmusic" "(num)loadmusic(filename)" "music.n7"
"music" "(num)music(music_id)" "music.n7"
"function" "function name(prm_1[, prm_2 .. [, prm_n]]) .. endfunc / (fnc)function(prm_1[, prm_2 .. [, prm_n]]) .. endfunc" "functions.n7"
"endfunc" "function name(prm_1[, prm_2 .. [, prm_n]]) .. endfunc / (fnc)function(prm_1[, prm_2 .. [, prm_n]]) .. endfunc" "functions.n7"
"return" "return [value]" "functions.n7"
"this" "this" "this.n7"
"for" "for var = start_value to end_value .. next" "for.n7"
"foreach" "foreach [key, ] value in tbl .. next" "foreach.n7"
"while" "while cond .. wend" "while.n7"
"wend" "while cond .. wend" "while.n7"
"do" "do .. loop / do .. until cond" "do.n7"
"loop" "do ... loop" "do.n7"
"until" "do ... until cond" "do.n7"
"if" "if cond .. [elseif cond ..] [else ..] endif" "if.n7"
"elseif" "if cond .. [elseif cond ..] [else ..] endif" "if.n7"
"else" "if cond .. [elseif cond ..] [else ..] endif" "if.n7"
"endif" "if cond .. [elseif cond ..] [else ..] endif" "if.n7"
"select" "select var .. [case val_1[, .. val_n] ..] [default ..] endsel" "select.n7"
"case" "select var .. [case val_1[, .. val_n] ..] [default ..] endsel" "select.n7"
"default" "select var .. [case val_1[, .. val_n] ..] [default ..] endsel" "select.n7"
"endsel" "select var .. [case val_1[, .. val_n] ..] [default ..] endsel" "select.n7"
"break" "break" "do.n7"
"end" "end" "end.n7"
"constant" "constant name_1 = val_1[, name_2 = val_2 .. [, name_n = val_n]]" "constant.n7"
"visible" "visible var_1 [= val_1][, var_2 [= val_2] .. [, var_n [= val_n]]]" "visible.n7"
"asm" "asm .. endasm" "asm.n7"
"endasm" "asm .. endasm" "asm.n7"
"active" "(num)active()" "active.n7"
"typeof" "(num)typeof(var)" "typeof.n7"
"set clipboard" "set clipboard str" "clipboard.n7"
"clipboard" "(str)clipboard()" "clipboard.n7"
"str" "(str)str(value[, int_digits[, dec_digits]])" "str.n7"
"float" "(num)float(value)" "float.n7"
"int" "(num)int(value)" "int.n7"
"key" "(num)key(tbl, key)" "key.n7"
"val" "(num)val(tbl, value)" "val.n7"
"scroll" "scroll dx, dy" "scroll.n7"
"system" "system cmd / (str)system(cmd)" "system.n7"
"download" "(num/str/tbl)download(url, destination)" "download.n7"
"insert" "insert tbl, index, value" ""
"draw image xform" "draw image xform image_id, x, y, scale_x, scale_y, angle, pivot_x, pivot_y[, cel / src_x, src_y, src_w, src_h]" "draw_image_xform.n7"
"draw poly image" "draw poly image image_id, points[, point_fields[, point_count]]" "draw_poly_image.n7"
"draw poly xform" "draw poly xform points, x, y, scale_x, scale_y, angle, pivot_x, pivot_y[, filled[, point_count]]" "draw_poly_xform.n7"
"draw poly image xform" "draw poly image xform image_id, points, x, y, scale_x, scale_y, angle, pivot_x, pivot_y[, field_count[, point_count]]" "draw_poly_image_xform.n7"
"joyx" "(num)joyx()" "joystick.n7"
"joyy" "(num)joyy()" "joystick.n7"
"joybutton" "(num)joybutton([id[, unflag]])" "joystick.n7"
"filetell" "(num)filetell(file_id)" "file_seek_tell.n7"
"fileseek" "(num)fileseek(file_id, offset[, whence = SEEK_SET])" "file_seek_tell.n7"
"file seek" "file seek file_id, offset[, whence = SEEK_SET]" "file_seek_tell.n7"
